signal,hold_days,baseline_mean_pct,dip_n,dip_mean_pct,dip_p,dip_sig,run_n,run_mean_pct,run_p,run_sig
"Zscore(SMA20,thresh=1.0)",20,5.461749835098581,261,5.599478288843241,0.8633128065290311,False,397,7.582116223223611,0.03684577895847718,False
"Zscore(SMA20,thresh=1.5)",1,0.263410958983171,141,0.10008452816123614,0.632186019104654,False,246,0.19488954276218082,0.7622048252152485,False
"Zscore(SMA20,thresh=1.5)",3,0.8018865405227369,141,0.8348173387238864,0.9468839581441437,False,246,0.6643491815596094,0.7323796985412206,False
"Zscore(SMA20,thresh=1.5)",5,1.3462903642522814,141,1.7206977861349706,0.5665003781756816,False,246,1.0795046557091283,0.6246749336180608,False
"Zscore(SMA20,thresh=1.5)",10,2.7026901898155673,141,3.3719894107718384,0.4611221784463559,False,245,2.312714078759345,0.5753742197230334,False
"Zscore(SMA20,thresh=1.5)",20,5.461749835098581,139,6.7757562267037805,0.22358426323256445,False,245,7.922643883978125,0.043230329452978326,False
"Zscore(SMA20,thresh=2.0)",1,0.263410958983171,46,0.6852811917618601,0.506455227969532,False,94,0.09247298985189768,0.6118933906700519,False
"Zscore(SMA20,thresh=2.0)",3,0.8018865405227369,46,1.217452722385206,0.6679494854030006,False,94,0.5753788651610048,0.7438759210789097,False
"Zscore(SMA20,thresh=2.0)",5,1.3462903642522814,46,1.4462672533967766,0.9286532422360753,False,94,1.069978687349645,0.7708673764095177,False
"Zscore(SMA20,thresh=2.0)",10,2.7026901898155673,46,3.5399403968247185,0.6052161540232844,False,94,1.863915903876893,0.4355141424914399,False
"Zscore(SMA20,thresh=2.0)",20,5.461749835098581,45,8.57941316344136,0.1126736470008454,False,94,6.985835517423694,0.4529393763868286,False
