ticker,date,entry_minute,entry_px,ret_pct,spread_pct
HOOD,2026-06-05,3,86.85,0.08727691421992478,0.15021087295626026
AXON,2026-06-05,0,511.76,-0.20000000000000018,2.566633761105627
FIX,2026-06-05,4,1889.0,-0.20000000000000018,0.6441137827531296
RDDT,2026-06-05,3,183.0,0.34535519125682423,1.0247933884297595
MRVL,2026-06-08,0,289.47,0.11029122188828122,0.23235248218342525
MU,2026-06-08,0,949.32,0.13430666161040605,0.1545389144973537
COIN,2026-06-08,30,157.4,0.3452858958068461,0.18483699289333125
HOOD,2026-06-08,24,84.97,-0.0708014593385875,0.023562676720070713
TTD,2026-06-08,41,19.73,0.15408008109478732,0.05090353779586669
FCX,2026-06-08,3,65.06,-0.07728250845373541,0.5400817838129905
INTU,2026-06-09,1,301.08,1.3181480005314494,0.49821945062110545
NOW,2026-06-09,1,111.21,0.5179210502652687,0.2539221909857633
COIN,2026-06-09,0,159.35,0.495186695952321,0.31161563165761014
ECHO,2026-06-09,1,118.75,0.8505263157894793,0.6217793109322344
CVNA,2026-06-09,1,72.66,-0.20000000000000018,1.0530010530010532
ALB,2026-06-09,15,156.04,-0.12325044860291845,0.24443586774732756
TTD,2026-06-09,1,19.28,0.5246887966805058,0.312662845231885
RDDT,2026-06-09,0,180.03,0.1436982725101288,1.091739542137793
VEEV,2026-06-09,2,167.2,0.12828947368421773,0.5677014132141549
SMCI,2026-06-10,0,35.94,0.24429604897051593,0.05632216277105921
QCOM,2026-06-10,0,201.29,0.7519399870833166,0.3206734141697639
MU,2026-06-10,0,918.35,-0.1619643926607517,0.04749570605680155
APP,2026-06-10,6,507.25,-0.20000000000000018,0.40654457043783665
VRT,2026-06-10,0,286.65,0.3326844583987576,0.47146576595594075
TTD,2026-06-10,1,19.72,0.2554766734280012,0.20429009193055517
COIN,2026-06-10,0,154.37,0.07799442896936348,0.22902012105348885
MRVL,2026-06-11,0,262.78,-0.11644721820533999,0.31473094342519126
TER,2026-06-11,1,364.54,0.7445054040708943,1.2346195114473892
ECHO,2026-06-11,0,118.38,0.32268964352086815,0.39072453919985883
GEV,2026-06-11,1,894.94,-0.09852057121148006,0.3271666357488539
VST,2026-06-11,3,142.0,-0.017267605633797256,0.27082887891097956
ALB,2026-06-11,0,153.25,0.6661272430668941,1.210025929127048
FCX,2026-06-11,18,64.1,0.033541341653675616,0.0779970361126233
SMCI,2026-06-12,44,30.9,-0.1354045307443319,0.0648718780408679
MRVL,2026-06-12,0,271.66,-0.20000000000000018,0.24408284023669566
MOS,2026-06-12,4,22.26,0.1586702605570478,0.4627487274410061
APTV,2026-06-12,0,69.11,0.17545941253076514,2.836468885672929
FCX,2026-06-12,0,67.89,-0.05299749594934733,1.2200565392054863
UAL,2026-06-12,0,114.47,0.8723683061064191,1.436580238262089
MRVL,2026-06-15,0,300.45,0.4477284073889143,0.10784941525394935
SNDK,2026-06-15,0,2107.39,0.39243803947064393,0.1962783341114542
TER,2026-06-15,0,429.48,0.6714026264319495,1.5172510980106584
RDDT,2026-06-15,1,169.65,1.1824344238137385,1.4858841010401187
APP,2026-06-15,0,513.5,0.20619668938657298,0.0980872976949485
CVNA,2026-06-15,0,67.45,1.8862564862861309,0.8995502248875477
HOOD,2026-06-15,2,100.11,0.09907102187594052,0.03028620463377611
COIN,2026-06-15,1,171.31,0.12623898196253425,0.29420417769932333
FCX,2026-06-15,2,71.61,0.05085881860076302,0.40477353618536704
MRVL,2026-06-16,0,303.07,1.008519483947623,0.1973937335853644
WDC,2026-06-16,0,694.66,1.1404168945959192,0.11934563660709818
ORCL,2026-06-16,9,191.02,0.17094545073812473,0.04725525714735944
HOOD,2026-06-16,1,101.47,0.20325219276633444,0.26039058587882336
FISV,2026-06-16,1,48.91,0.02445307708036637,0.10333781130515068
CVNA,2026-06-16,0,70.74,0.8722080859485448,1.2072434607645925
TPL,2026-06-16,0,360.75,-0.20000000000000018,2.0565552699228786
MRVL,2026-06-17,13,294.95,-0.03758603153076745,0.04763200870984838
HOOD,2026-06-17,0,97.59,0.3215493390716029,0.36502059759087296
VRT,2026-06-17,2,306.56,0.5520159185803619,0.3886285331722204
FIX,2026-06-17,1,1963.77,0.296009206780834,1.5335496163551148
FOX,2026-06-17,2,47.59,0.1774742592981715,0.5690799873537697
ECHO,2026-06-17,3,121.99,0.44629887695712966,1.217782967720417
AXON,2026-06-17,13,434.2,0.14936895439889852,
SNDK,2026-06-18,1,2058.45,0.40797784740946863,0.0910081489188545
TER,2026-06-18,0,428.77,0.08396576253002497,0.7471980074719747
HOOD,2026-06-18,0,108.17,-0.11696403808819644,0.32456994482311724
AMD,2026-06-18,5,534.22,-0.11219722211822658,0.1052789893217136
VRT,2026-06-18,0,334.65,-0.012120125504266888,0.5258862997551936
CVNA,2026-06-18,5,65.1,0.2599078341014138,0.2939583816817478
MRNA,2026-06-18,0,64.81,2.0328344391297604,0.18761726078798852
FDS,2026-06-18,14,222.75,0.3555645342312008,0.7946900257371161
SNDK,2026-06-22,5,2306.45,-0.031247154718283543,0.20561923613988484
GLW,2026-06-22,3,202.9,0.29186791522917144,0.3698335748913035
TER,2026-06-22,0,457.99,-0.20000000000000018,1.672750391879596
ECHO,2026-06-22,1,106.62,0.6705120990433189,0.1804454152618811
