rank,indicators,n_indicators,n_trades,win_rate_blind,avg_return_blind,median_return_blind,win_rate_trail,avg_return_trail,median_return_trail,std_return_trail
333,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,7,65,43.07692307692308,-0.042610190298082155,-0.20584418490178008,58.46153846153847,0.1453713804773246,0.06549384796898514,0.40465033474112144
334,RSI_50_70 & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100,4,571,49.56217162872154,-0.022332785604809415,-0.008000000000004092,53.59019264448336,0.14533164586623043,0.020641263034792988,0.4890675835137737
335,RSI_50_70 & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,5,571,49.56217162872154,-0.022332785604809415,-0.008000000000004092,53.59019264448336,0.14533164586623043,0.020641263034792988,0.4890675835137737
336,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,81,34.5679012345679,-0.5040955826939982,-0.9626274065685172,61.72839506172839,0.14524655290906363,0.06883531062635995,0.3832603191067265
337,RSI_50_70 & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,81,34.5679012345679,-0.5040955826939982,-0.9626274065685172,61.72839506172839,0.14524655290906363,0.06883531062635995,0.3832603191067265
338,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100,6,67,40.298507462686565,-0.16075925665289986,-0.2202169943065832,56.71641791044776,0.1451421289749794,0.04838643371018317,0.3976605256245097
339,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,221,51.13122171945701,0.05074525637786202,0.0534918276374463,52.03619909502263,0.14510462263065374,0.009691447504660305,0.49597227318355286
340,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,221,51.13122171945701,0.05074525637786202,0.0534918276374463,52.03619909502263,0.14510462263065374,0.009691447504660305,0.49597227318355286
341,RSI_50_70 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21,5,107,47.66355140186916,0.27204770465854045,-0.03388463089956214,52.336448598130836,0.14504832870323406,0.029674430319719988,0.46541271029283876
342,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,6,237,49.789029535864984,-0.010312120891536969,0.0,51.0548523206751,0.14495000464582347,0.004272634791449592,0.49647561009520375
343,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,6,45,44.44444444444444,0.12489543350750212,-0.3170942634765091,48.888888888888886,0.14489859134112076,-0.0015920524740480966,0.48561325704418523
344,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100,5,63,30.158730158730158,-0.718657031662555,-0.9626274065685172,58.730158730158735,0.14467441488630742,0.0681087879101561,0.39112561476371854
345,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100,6,63,30.158730158730158,-0.718657031662555,-0.9626274065685172,58.730158730158735,0.14467441488630742,0.0681087879101561,0.39112561476371854
346,MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,6,63,30.158730158730158,-0.718657031662555,-0.9626274065685172,58.730158730158735,0.14467441488630742,0.0681087879101561,0.39112561476371854
347,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,7,63,30.158730158730158,-0.718657031662555,-0.9626274065685172,58.730158730158735,0.14467441488630742,0.0681087879101561,0.39112561476371854
348,RSI_50_70 & MACD_bull & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,7,72,30.555555555555557,-0.4947006883693788,-0.8560671549607897,61.111111111111114,0.14428752584795335,0.068050379191104,0.39930037391056067
349,RSI_50_70 & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,5,568,49.647887323943664,-0.02391271780913194,-0.007706037134490763,53.345070422535215,0.14422634936188958,0.01926364109754463,0.4898506284258531
350,RSI_50_70 & BB_pctB_0.8-1.0 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,6,568,49.647887323943664,-0.02391271780913194,-0.007706037134490763,53.345070422535215,0.14422634936188958,0.01926364109754463,0.4898506284258531
351,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,7,64,45.3125,0.01780875538926996,-0.21101174997734226,59.375,0.14408779836434812,0.06563476465534901,0.3856630185143679
352,RSI_50_70 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,6,79,43.037974683544306,-0.04715286853183101,-0.41687936021780586,50.63291139240506,0.1439523019553848,0.029674430319719988,0.4541335743473826
353,MACD_bull & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,5,75,29.333333333333332,-0.5546689293964395,-0.9646017699115125,60.0,0.14393355280103426,0.06799197047205191,0.3934157103748906
354,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & EMA9_gt_EMA21,5,222,50.9009009009009,0.042300287852259054,0.05052325776426023,51.80180180180181,0.14393271214831532,0.009605985911692936,0.4951605347491827
355,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21,6,222,50.9009009009009,0.042300287852259054,0.05052325776426023,51.80180180180181,0.14393271214831532,0.009605985911692936,0.4951605347491827
356,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50,5,238,49.57983193277311,-0.017932816838656544,-0.003706037134488717,50.84033613445378,0.14385752771685587,0.0037971891205544504,0.4957168832166216
