ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
COIN,8,0.75,41.1975,302.5525,1.8,2.0,1.3,0.25
COST,1,1.0,57.74,442.26,1.8,2.0,1.3,0.25
CRM,1,1.0,46.67,453.33,1.8,2.0,1.3,0.25
CVX,1,1.0,28.38,221.62,1.8,2.0,1.3,0.25
F,1,0.0,5.390000000000001,94.61,1.8,2.0,1.3,0.25
GM,1,1.0,11.219999999999999,88.78,1.8,2.0,1.3,0.25
GS,1,1.0,62.77,437.23,1.8,2.0,1.3,0.25
JD,1,1.0,22.650000000000002,227.35,1.8,2.0,1.3,0.25
LLY,1,0.0,92.0,908.0,1.8,2.0,1.3,0.25
META,2,1.0,62.06,437.94000000000005,1.8,2.0,1.3,0.25
MSFT,1,0.0,69.26,430.74,1.8,2.0,1.3,0.25
MU,3,0.3333333333333333,106.06666666666669,810.6,1.8,2.0,1.3,0.25
NFLX,1,1.0,32.15,217.85000000000002,1.8,2.0,1.3,0.25
NOW,1,0.0,35.480000000000004,214.52,1.8,2.0,1.3,0.25
NVDA,1,0.0,31.619999999999997,218.38000000000002,1.8,2.0,1.3,0.25
PLTR,2,0.5,23.849999999999998,151.15,1.8,2.0,1.3,0.25
QCOM,1,1.0,31.64,218.36,1.8,2.0,1.3,0.25
SHOP,4,0.25,26.575000000000003,185.92499999999998,1.8,2.0,1.3,0.25
SLB,1,1.0,13.48,86.52,1.8,2.0,1.3,0.25
SNAP,2,0.0,4.66,95.34,1.8,2.0,1.3,0.25
TSLA,5,0.6,55.467999999999996,394.53200000000004,1.8,2.0,1.3,0.25
V,1,1.0,66.2,433.8,1.8,2.0,1.3,0.25
ADBE,3,0.3333333333333333,63.59666666666667,436.4033333333334,1.8,2.0,1.6,0.12
AMD,7,0.5714285714285714,49.198571428571434,379.37285714285713,1.8,2.0,1.6,0.12
AMZN,1,0.0,29.709999999999997,220.29000000000002,1.8,2.0,1.6,0.12
AVGO,1,1.0,58.78,441.22,1.8,2.0,1.6,0.12
BABA,1,0.0,31.919999999999998,218.08,1.8,2.0,1.6,0.12
CAT,1,1.0,61.260000000000005,438.73999999999995,1.8,2.0,1.6,0.12
COIN,9,0.5555555555555556,44.97888888888888,343.90999999999997,1.8,2.0,1.6,0.12
COST,1,1.0,73.33,426.67,1.8,2.0,1.6,0.12
CRM,1,0.0,33.76,216.23999999999998,1.8,2.0,1.6,0.12
CVX,1,1.0,26.75,223.25,1.8,2.0,1.6,0.12
GS,1,1.0,61.82,438.18,1.8,2.0,1.6,0.12
HD,1,1.0,66.99000000000001,433.01,1.8,2.0,1.6,0.12
ISRG,2,0.5,68.905,431.095,1.8,2.0,1.6,0.12
JD,2,1.0,13.235,86.765,1.8,2.0,1.6,0.12
LLY,3,0.3333333333333333,84.38333333333333,582.2833333333334,1.8,2.0,1.6,0.12
MA,1,1.0,59.660000000000004,440.34,1.8,2.0,1.6,0.12
META,3,0.6666666666666666,76.86,589.8066666666666,1.8,2.0,1.6,0.12
MSFT,1,0.0,70.24000000000001,429.76,1.8,2.0,1.6,0.12
MU,2,1.0,159.185,1090.815,1.8,2.0,1.6,0.12
NFLX,1,0.0,11.41,88.59,1.8,2.0,1.6,0.12
NKE,1,1.0,35.82,214.18,1.8,2.0,1.6,0.12
NOW,1,1.0,32.440000000000005,217.56000000000003,1.8,2.0,1.6,0.12
NVDA,2,1.0,29.14,270.86,1.8,2.0,1.6,0.12
PLTR,3,0.3333333333333333,27.916666666666668,172.08333333333334,1.8,2.0,1.6,0.12
QCOM,4,0.5,37.77,274.73,1.8,2.0,1.6,0.12
SBUX,1,1.0,34.5,215.50000000000003,1.8,2.0,1.6,0.12
SHOP,4,0.5,22.5825,152.4175,1.8,2.0,1.6,0.12
SLB,1,1.0,11.67,88.33,1.8,2.0,1.6,0.12
TGT,1,0.0,28.71,221.29,1.8,2.0,1.6,0.12
TSLA,8,0.5,54.295,414.45500000000004,1.8,2.0,1.6,0.12
UBER,1,0.0,11.360000000000001,88.64,1.8,2.0,1.6,0.12
ADBE,3,0.3333333333333333,63.59666666666667,436.4033333333334,1.8,2.0,1.6,0.25
AMD,7,0.5714285714285714,49.198571428571434,379.37285714285713,1.8,2.0,1.6,0.25
AMZN,1,0.0,29.709999999999997,220.29000000000002,1.8,2.0,1.6,0.25
AVGO,1,1.0,58.78,441.22,1.8,2.0,1.6,0.25
BABA,1,0.0,31.919999999999998,218.08,1.8,2.0,1.6,0.25
CAT,1,1.0,61.260000000000005,438.73999999999995,1.8,2.0,1.6,0.25
COIN,9,0.5555555555555556,44.97888888888888,343.90999999999997,1.8,2.0,1.6,0.25
COST,1,1.0,73.33,426.67,1.8,2.0,1.6,0.25
CRM,1,0.0,33.76,216.23999999999998,1.8,2.0,1.6,0.25
CVX,1,1.0,26.75,223.25,1.8,2.0,1.6,0.25
GS,1,1.0,61.82,438.18,1.8,2.0,1.6,0.25
HD,1,1.0,66.99000000000001,433.01,1.8,2.0,1.6,0.25
ISRG,2,0.5,68.905,431.095,1.8,2.0,1.6,0.25
JD,2,1.0,13.235,86.765,1.8,2.0,1.6,0.25
LLY,3,0.3333333333333333,84.38333333333333,582.2833333333334,1.8,2.0,1.6,0.25
MA,1,1.0,59.660000000000004,440.34,1.8,2.0,1.6,0.25
META,3,0.6666666666666666,76.86,589.8066666666666,1.8,2.0,1.6,0.25
MSFT,1,0.0,70.24000000000001,429.76,1.8,2.0,1.6,0.25
MU,2,1.0,159.185,1090.815,1.8,2.0,1.6,0.25
NFLX,1,0.0,11.41,88.59,1.8,2.0,1.6,0.25
NKE,1,1.0,35.82,214.18,1.8,2.0,1.6,0.25
NOW,1,1.0,32.440000000000005,217.56000000000003,1.8,2.0,1.6,0.25
NVDA,2,1.0,29.14,270.86,1.8,2.0,1.6,0.25
PLTR,3,0.3333333333333333,27.916666666666668,172.08333333333334,1.8,2.0,1.6,0.25
QCOM,4,0.5,37.77,274.73,1.8,2.0,1.6,0.25
SBUX,1,1.0,34.5,215.50000000000003,1.8,2.0,1.6,0.25
SHOP,4,0.5,22.5825,152.4175,1.8,2.0,1.6,0.25
SLB,1,1.0,11.67,88.33,1.8,2.0,1.6,0.25
TGT,1,0.0,28.71,221.29,1.8,2.0,1.6,0.25
TSLA,8,0.5,54.295,414.45500000000004,1.8,2.0,1.6,0.25
UBER,1,0.0,11.360000000000001,88.64,1.8,2.0,1.6,0.25
AAPL,1,1.0,140.47,359.53,1.0,1.6,1.3,0.12
ADBE,4,0.25,299.4975,700.5024999999999,1.0,1.6,1.3,0.12
AMD,13,0.46153846153846156,159.0353846153846,417.8876923076923,1.0,1.6,1.3,0.12
AMZN,3,0.3333333333333333,117.82,298.8466666666667,1.0,1.6,1.3,0.12
AVGO,3,0.0,170.65333333333334,412.68,1.0,1.6,1.3,0.12
