short_mult,wing_mult,iv_mult,max_move_bound,n,win_rate,pooled_breakeven_win_rate,margin_vs_breakeven_pts,mean_risk_reward_ratio,avg_net_credit_dollars,avg_max_risk_dollars,avg_payoff_pct_spot,avg_payoff_pct_credit
1.2,1.6,1.6,0.12,179,0.441340782122905,0.7567548909657321,-31.541410884282712,3.122329611472629,109.05262569832401,339.2713966480447,-0.002811960455063037,-0.5332330417431416
1.2,1.6,1.6,0.25,179,0.441340782122905,0.7567548909657321,-31.541410884282712,3.122329611472629,109.05262569832401,339.2713966480447,-0.002811960455063037,-0.5332330417431416
1.2,2.0,1.3,0.12,169,0.4437869822485207,0.807636090225564,-36.384910797704336,4.633187612796645,121.10958579881658,508.47621301775155,-0.008332973133358717,-1.360034067627971
1.2,2.0,1.3,0.25,169,0.4437869822485207,0.807636090225564,-36.384910797704336,4.633187612796645,121.10958579881658,508.47621301775155,-0.008332973133358717,-1.360034067627971
1.2,2.0,1.6,0.12,273,0.4358974358974359,0.8083602824858758,-37.24628465884399,4.400435062969316,124.24992673992674,524.1017216117217,-0.008493910729922945,-1.1748258228904507
1.2,2.0,1.6,0.25,273,0.4358974358974359,0.8083602824858758,-37.24628465884399,4.400435062969316,124.24992673992674,524.1017216117217,-0.008493910729922945,-1.1748258228904507
1.2,2.5,1.3,0.12,190,0.4263157894736842,0.8520584096955365,-42.57426202218523,7.106235662620077,131.70694736842105,758.5562105263158,-0.016799518544476432,-2.3332055561949177
1.2,2.5,1.3,0.25,190,0.4263157894736842,0.8520584096955365,-42.57426202218523,7.106235662620077,131.70694736842105,758.5562105263158,-0.016799518544476432,-2.3332055561949177
1.2,2.5,1.6,0.12,306,0.4444444444444444,0.8520703710216282,-40.76259265771838,6.2954657569418915,137.4633660130719,791.7850000000001,-0.014590801201543643,-1.7983754741669389
1.2,2.5,1.6,0.25,306,0.4444444444444444,0.8520703710216282,-40.76259265771838,6.2954657569418915,137.4633660130719,791.7850000000001,-0.014590801201543643,-1.7983754741669389
1.2,3.0,1.3,0.12,201,0.4228855721393035,0.883021453437772,-46.01358812984685,10.792830644103516,133.73965174129353,1009.5439303482585,-0.022987764862089775,-4.105214768029046
1.2,3.0,1.3,0.25,201,0.4228855721393035,0.883021453437772,-46.01358812984685,10.792830644103516,133.73965174129353,1009.5439303482585,-0.022987764862089775,-4.105214768029046
1.2,3.0,1.6,0.12,312,0.44551282051282054,0.885448448778017,-43.99356282651964,8.573009391913825,144.9701282051282,1120.5747435897433,-0.01991703290814449,-2.533633367652649
1.2,3.0,1.6,0.25,312,0.44551282051282054,0.885448448778017,-43.99356282651964,8.573009391913825,144.9701282051282,1120.5747435897433,-0.01991703290814449,-2.533633367652649
1.4,1.6,1.3,0.12,40,0.4,0.7818005847953217,-38.180058479532164,3.5225984353464823,93.28025,334.21975000000003,-0.00548763969697383,-0.9871889041224329
1.4,1.6,1.3,0.25,40,0.4,0.7818005847953217,-38.180058479532164,3.5225984353464823,93.28025,334.21975000000003,-0.00548763969697383,-0.9871889041224329
1.4,1.6,1.6,0.12,78,0.48717948717948717,0.7816353135313531,-29.44558263518659,3.618484392627422,84.82628205128205,303.63525641025643,-0.0027321177728529505,-0.616178128778214
