Got CBOE DataShop token OK
Real universe: 311 tickers from EVC's own CANDIDATE_POOL
  [219/311] PM: 0 real events analyzed, 4 skipped
  [220/311] PNC: 0 real events analyzed, 4 skipped
  [221/311] PODD: 0 real events analyzed, 4 skipped
  [222/311] PPG: 0 real events analyzed, 4 skipped
  [223/311] PRU: 0 real events analyzed, 4 skipped
  [224/311] PSX: 0 real events analyzed, 4 skipped
  [225/311] PVH: 0 real events analyzed, 4 skipped
  [226/311] PYPL: 0 real events analyzed, 4 skipped
  [227/311] QCOM: 0 real events analyzed, 4 skipped
  [228/311] QQQ: no earnings calendar or history
  [229/311] QSR: 0 real events analyzed, 4 skipped
  [230/311] RBLX: 0 real events analyzed, 4 skipped
  [231/311] REGN: 0 real events analyzed, 4 skipped
  [232/311] RF: 0 real events analyzed, 4 skipped
  [233/311] RIOT: 0 real events analyzed, 4 skipped
  [234/311] RIVN: 0 real events analyzed, 4 skipped
  [235/311] RL: 0 real events analyzed, 4 skipped
  [236/311] ROK: 0 real events analyzed, 4 skipped
  [237/311] ROKU: 0 real events analyzed, 4 skipped
  [238/311] ROST: 0 real events analyzed, 4 skipped
  [239/311] RTX: 0 real events analyzed, 4 skipped
  [240/311] S: 0 real events analyzed, 4 skipped
  [241/311] SAVE: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [242/311] SBUX: 0 real events analyzed, 4 skipped
  [243/311] SCHW: 0 real events analyzed, 4 skipped
  [244/311] SEDG: 0 real events analyzed, 4 skipped
  [245/311] SHOP: 0 real events analyzed, 4 skipped
  [246/311] SHW: 0 real events analyzed, 4 skipped
  [247/311] SJM: 0 real events analyzed, 4 skipped
  [248/311] SKX: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [249/311] SLB: 0 real events analyzed, 4 skipped
  [250/311] SMCI: 0 real events analyzed, 4 skipped
  [251/311] SNAP: 0 real events analyzed, 4 skipped
  [252/311] SNOW: 0 real events analyzed, 4 skipped
  [253/311] SO: 0 real events analyzed, 4 skipped
  [254/311] SOFI: 0 real events analyzed, 4 skipped
  [255/311] SPG: 0 real events analyzed, 4 skipped
  [256/311] SPGI: 0 real events analyzed, 4 skipped
  [257/311] SPOT: 0 real events analyzed, 4 skipped
  [258/311] SPY: no earnings calendar or history
  [259/311] SQ: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [260/311] STLA: 0 real events analyzed, 3 skipped
  [261/311] SW: 0 real events analyzed, 4 skipped
  [262/311] SYK: 0 real events analyzed, 4 skipped
  [263/311] T: 0 real events analyzed, 4 skipped
  [264/311] TCOM: 0 real events analyzed, 4 skipped
  [265/311] TDG: 0 real events analyzed, 4 skipped
  [266/311] TEAM: 0 real events analyzed, 4 skipped
  [267/311] TER: 0 real events analyzed, 4 skipped
  [268/311] TFC: 0 real events analyzed, 4 skipped
  [269/311] TGT: 0 real events analyzed, 4 skipped
  [270/311] TJX: 0 real events analyzed, 4 skipped
  [271/311] TMO: 0 real events analyzed, 4 skipped
  [272/311] TPR: 0 real events analyzed, 4 skipped
  [273/311] TRMB: 0 real events analyzed, 4 skipped
  [274/311] TRV: 0 real events analyzed, 4 skipped
  [275/311] TSLA: 0 real events analyzed, 4 skipped
  [276/311] TSN: 0 real events analyzed, 4 skipped
  [277/311] TTWO: 0 real events analyzed, 4 skipped
  [278/311] TWLO: 0 real events analyzed, 4 skipped
  [279/311] TXN: 0 real events analyzed, 4 skipped
  [280/311] UAL: 0 real events analyzed, 4 skipped
  [281/311] UBER: 0 real events analyzed, 4 skipped
  [282/311] ULTA: 0 real events analyzed, 4 skipped
  [283/311] UNH: 0 real events analyzed, 4 skipped
  [284/311] UPS: 0 real events analyzed, 4 skipped
  [285/311] UPST: 0 real events analyzed, 4 skipped
  [286/311] USB: 0 real events analyzed, 4 skipped
  [287/311] V: 0 real events analyzed, 4 skipped
  [288/311] VFC: 0 real events analyzed, 4 skipped
  [289/311] VICI: 0 real events analyzed, 4 skipped
  [290/311] VLO: 0 real events analyzed, 4 skipped
  [291/311] VRTX: 0 real events analyzed, 4 skipped
  [292/311] VZ: 0 real events analyzed, 4 skipped
  [293/311] WAL: 0 real events analyzed, 4 skipped
  [294/311] WBD: 0 real events analyzed, 4 skipped
  [295/311] WELL: 0 real events analyzed, 4 skipped
  [296/311] WFC: 0 real events analyzed, 4 skipped
  [297/311] WMT: 0 real events analyzed, 4 skipped
  [298/311] WYNN: 0 real events analyzed, 4 skipped
  [299/311] XBI: no earnings calendar or history
  [300/311] XEL: 0 real events analyzed, 4 skipped
  [301/311] XLE: no earnings calendar or history
  [302/311] XLF: no earnings calendar or history
  [303/311] XLK: no earnings calendar or history
  [304/311] XLV: no earnings calendar or history
  [305/311] XOM: 0 real events analyzed, 4 skipped
  [306/311] XPEV: 0 real events analyzed, 4 skipped
  [307/311] YUM: 0 real events analyzed, 4 skipped
  [308/311] ZBH: 0 real events analyzed, 4 skipped
  [309/311] ZION: 0 real events analyzed, 4 skipped
  [310/311] ZM: 0 real events analyzed, 4 skipped
  [311/311] ZS: 0 real events analyzed, 4 skipped

Saved 135 real analyzed events to evc_research/gex_wall_backtest_results.json
