ticker,earnings_date,timing,outcome_date,spot,expected_move,net_credit,short_put,long_put,short_call,long_call,price_09:30,price_09:35,price_09:45,price_10:00,price_10:30,price_11:00,price_12:00,price_close,payoff_09:30,payoff_09:35,payoff_09:45,payoff_10:00,payoff_10:30,payoff_11:00,payoff_12:00,payoff_close
RTX,2026-04-21,BMO,2026-04-21,195.7899932861328,10.420000000000002,1.33,182.5,180.0,205.0,210.0,194.61,195.57,193.91,194.2,190.36,188.39,187.44,187.2,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
GD,2026-07-29,BMO,2026-07-29,393.19000244140625,19.52,1.37,370.0,365.0,415.0,420.0,398.8,396.33,393.45,392.33,392.99,390.36,390.33,381.32,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
GD,2026-04-29,BMO,2026-04-29,313.67999267578125,17.88,1.18,290.0,285.0,330.0,340.0,338.08,335.0,342.63,341.69,346.64,344.58,345.92,338.9,-6.899999999999984,-3.8200000000000003,-7.640000000000001,-7.640000000000001,-7.640000000000001,-7.640000000000001,-7.640000000000001,-7.7199999999999775
GD,2026-01-28,BMO,2026-01-28,366.6199951171875,14.16,2.29,350.0,345.0,380.0,390.0,349.42,348.06,355.16,349.78,351.93,355.84,357.99,356.67,1.710000000000016,0.3500000000000023,2.29,2.0699999999999728,2.29,2.29,2.29,2.29
FDX,2026-06-23,AMC,2026-06-24,317.239990234375,22.35,2.55,290.0,285.0,340.0,350.0,314.77,312.45,314.35,310.76,314.09,314.63,314.01,316.9,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
FDX,2025-12-18,AMC,2025-12-19,287.11999522399907,17.3,1.98,265.0,260.0,305.0,315.0,219.0899,223.06,228.4072,226.8852,229.1159,229.0837,230.807,232.5867,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
LUV,2026-01-28,AMC,2026-01-29,40.86000061035156,2.9299999999999997,0.25,37.0,36.0,44.0,45.0,43.38,44.61,45.9,45.34,46.07,45.74,47.02,48.44,0.25,-0.35999999999999943,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
T,2026-01-28,BMO,2026-01-28,23.0,1.08,0.25,22.0,21.0,24.0,25.0,23.42,23.89,23.73,24.07,24.01,24.07,24.18,24.07,0.25,0.25,0.25,0.17999999999999972,0.23999999999999844,0.17999999999999972,0.07000000000000028,0.17999999999999972
CELH,2026-08-06,BMO,2026-08-06,29.149999618530273,3.29,0.53,25.0,24.0,32.0,34.0,25.98,25.7,25.29,24.43,24.37,24.16,24.15,23.77,0.53,0.53,0.53,-0.04000000000000026,-0.09999999999999898,-0.30999999999999983,-0.3200000000000014,0.06000000000000005
ONON,2026-08-11,BMO,2026-08-11,38.779998779296875,3.9699999999999998,0.41,34.0,33.0,43.0,45.0,31.59,30.48,30.17,30.78,31.51,31.43,31.42,30.91,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001,-0.1800000000000001
ONON,2026-05-12,BMO,2026-05-12,34.040000915527344,3.9899999999999998,0.42,29.0,28.0,38.0,40.0,32.12,32.59,32.21,32.23,31.88,31.88,32.56,33.85,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
