alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1206,2026-08-27T13:33:47.777624+00:00,2026-08-27,SNOW,BREAKOUT,324.1,52.1,59.7,0.02,28.536749975137266,-4.400083290608604,PREFER-HIGH,2026-08-27T13:34:12.410740+00:00
1207,2026-08-27T13:36:23.613317+00:00,2026-08-27,PANW,BREAKOUT,367.87,55.3,56.0,0.2,22.70820074994838,-5.70959226049558,PREFER-HIGH,2026-08-27T13:41:54.393419+00:00
1208,2026-08-27T13:36:43.324404+00:00,2026-08-27,SLB,BREAKOUT,53.82,70.7,59.8,0.09,23.753271196255724,-7.395271892703432,PREFER-HIGH,2026-08-27T13:41:54.565389+00:00
1209,2026-08-27T13:42:35.899515+00:00,2026-08-27,SMCI,BREAKOUT,38.41,73.6,60.9,0.24,25.572605413346466,-33.58043921025106,PREFER-HIGH,2026-08-27T13:56:53.792632+00:00
1210,2026-08-27T13:45:39.507356+00:00,2026-08-27,ARKK,BREAKOUT,87.29,87.0,64.6,0.13,25.25826166795764,-5.900788021726748,PREFER-HIGH,2026-08-27T13:56:53.884667+00:00
1211,2026-08-27T13:48:19.966811+00:00,2026-08-27,CRM,BREAKOUT,242.9,134.7,77.9,2.22,25.381156685657682,-8.733055741031027,PREFER-HIGH,2026-08-27T13:56:53.968065+00:00
1212,2026-08-27T13:48:27.354262+00:00,2026-08-27,CRWD,BREAKOUT,216.1,67.2,59.4,1.69,24.737339657968715,-2.7823322531141716,PREFER-HIGH,2026-08-27T13:56:54.086108+00:00
1213,2026-08-27T13:48:36.947081+00:00,2026-08-27,COIN,BREAKOUT,185.59,91.2,62.8,0.25,22.014846368900727,-51.31045448710538,PREFER-HIGH,2026-08-27T13:56:54.170713+00:00
1214,2026-08-27T13:48:46.417368+00:00,2026-08-27,HOOD,BREAKOUT,110.09,94.0,60.6,0.22,20.25667026905773,-26.82015297020433,PREFER-HIGH,2026-08-27T13:56:54.255075+00:00
1215,2026-08-27T13:51:36.875288+00:00,2026-08-27,NVDA,BREAKOUT,223.74,74.4,58.6,1.03,16.76054657984938,-4.8634136461883415,PREFER-HIGH,2026-08-27T13:56:54.354983+00:00
1216,2026-08-27T13:51:46.348334+00:00,2026-08-27,NET,BREAKOUT,300.57,56.8,55.4,0.26,21.177532846350868,-8.728047992013753,PREFER-HIGH,2026-08-27T13:56:54.429935+00:00
1217,2026-08-27T13:54:26.971697+00:00,2026-08-27,SOFI,BREAKOUT,19.33,93.3,59.3,0.46,16.556888128376396,-39.7702571563178,PREFER-HIGH,2026-08-27T13:56:54.505264+00:00
