  [122] NKE BREAKOUT pct_b=69.2 rsi=55.3 adx=16.527261031313728 dist52w=-48.528481820801254 -> PREFER-HIGH
  [123] XYZ BREAKOUT pct_b=93.4 rsi=62.4 adx=14.934805751039837 dist52w=-3.8516093569693135 -> PREFER-HIGH
  [124] XLV BREAKOUT pct_b=93.3 rsi=68.9 adx=28.933721142630784 dist52w=-0.5578300138864715 -> PREFER-HIGH
  [125] VRTX BREAKOUT pct_b=92.4 rsi=75.2 adx=32.42909032101336 dist52w=-0.8096892951658887 -> PREFER-MID
  [126] LMT BREAKOUT pct_b=73.6 rsi=56.2 adx=26.526790681172933 dist52w=-16.63366270549983 -> PREFER-HIGH
  [127] AXP BREAKOUT pct_b=85.4 rsi=71.2 adx=11.230181593533727 dist52w=-12.356784085348043 -> PREFER-HIGH
  [128] JNJ BREAKOUT pct_b=88.2 rsi=68.7 adx=22.367342077860307 dist52w=-0.13532610812761417 -> PREFER-HIGH
  [129] BKNG PRE-BREAKOUT pct_b=92.4 rsi=64.0 adx=32.71592394581062 dist52w=-6.5142115134901175 -> NEUTRAL
  [130] LLY PRE-BREAKOUT pct_b=80.7 rsi=64.8 adx=21.813250792884794 dist52w=-2.6094563163908817 -> AVOID
  [131] KO PRE-BREAKOUT pct_b=66.3 rsi=56.6 adx=27.877061245300965 dist52w=0.0 -> PREFER-HIGH
  [132] TMO PRE-BREAKOUT pct_b=93.5 rsi=65.0 adx=34.16796306770194 dist52w=-1.6748802514978642 -> PREFER-MID
  [133] SBUX PRE-BREAKOUT pct_b=76.0 rsi=58.0 adx=12.07991057965687 dist52w=-0.9765132733187113 -> AVOID
  [134] MRK PRE-BREAKOUT pct_b=79.4 rsi=62.6 adx=35.60702796336727 dist52w=-1.2389376282130855 -> AVOID
  [135] VLO BREAKOUT pct_b=92.3 rsi=63.2 adx=31.849163526806375 dist52w=-1.1569741277534475 -> PREFER-MID
  [136] MPC BREAKOUT pct_b=82.2 rsi=60.7 adx=41.613616964509774 dist52w=-1.0076192696831134 -> PREFER-MID
  [137] DHR BREAKOUT pct_b=92.0 rsi=65.5 adx=19.612238890572517 dist52w=-11.129932700577426 -> PREFER-HIGH
  [138] TFC BREAKOUT pct_b=88.0 rsi=60.0 adx=13.94779777233177 dist52w=-8.958967706445621 -> PREFER-HIGH
  [139] BA BREAKOUT pct_b=82.8 rsi=55.6 adx=19.75061051400705 dist52w=-16.53380455750963 -> PREFER-HIGH
  [140] DIA PRE-BREAKOUT pct_b=88.8 rsi=67.4 adx=15.522758402101335 dist52w=-1.6875100285054117 -> PREFER-MID
  [141] SPY PRE-BREAKOUT pct_b=76.3 rsi=56.7 adx=17.95436186557309 dist52w=-1.852475200446677 -> AVOID
  [142] ROKU BREAKOUT pct_b=75.4 rsi=64.4 adx=51.23503017069842 dist52w=-0.08212045026681435 -> PREFER-MID
  [143] DE BREAKOUT pct_b=92.3 rsi=66.6 adx=20.455547659872312 dist52w=-2.090593939545814 -> PREFER-HIGH
  [144] ABBV BREAKOUT pct_b=88.2 rsi=73.4 adx=24.684696914499476 dist52w=-0.545178854899513 -> PREFER-HIGH
  [145] C BREAKOUT pct_b=57.7 rsi=58.9 adx=16.260004834312706 dist52w=-9.576437923794881 -> PREFER-HIGH
  [146] XLI PRE-BREAKOUT pct_b=87.5 rsi=62.9 adx=15.528019727541222 dist52w=-4.026590921678828 -> PREFER-LOW
  [147] IWM PRE-BREAKOUT pct_b=83.9 rsi=64.4 adx=13.873447877940611 dist52w=-2.3337360131933087 -> AVOID
  [148] INTC BREAKOUT pct_b=63.5 rsi=55.2 adx=15.632520401071446 dist52w=-38.087128831640584 -> PREFER-HIGH
  [149] RIVN BREAKOUT pct_b=114.1 rsi=67.6 adx=10.706647302050774 dist52w=-26.05790727244397 -> PREFER-HIGH
  [150] AAPL BREAKOUT pct_b=82.5 rsi=58.7 adx=16.51931057044738 dist52w=-8.74499864991478 -> PREFER-HIGH
  [151] LOW PRE-BREAKOUT pct_b=77.4 rsi=55.0 adx=17.31733360119769 dist52w=-24.499813957360555 -> AVOID
  [152] PG BREAKOUT pct_b=62.4 rsi=55.1 adx=5.433172427379311 dist52w=-12.320568911914167 -> PREFER-HIGH
  [153] ABNB PRE-BREAKOUT pct_b=88.1 rsi=63.3 adx=41.52373985119513 dist52w=0.0 -> PREFER-MID
  [154] HD PRE-BREAKOUT pct_b=87.4 rsi=68.6 adx=12.065781724392938 dist52w=-20.308445048648878 -> NEUTRAL
  [155] UPS PRE-BREAKOUT pct_b=84.1 rsi=59.4 adx=26.04234443560316 dist52w=-14.399998982747395 -> AVOID
  [156] ISRG PRE-BREAKOUT pct_b=86.5 rsi=55.1 adx=15.62920260753134 dist52w=-36.98742975320114 -> NEUTRAL
  [157] ISRG BREAKOUT pct_b=93.4 rsi=56.5 adx=15.62920260753134 dist52w=-36.98742975320114 -> PREFER-HIGH
  [158] LMT BREAKOUT pct_b=89.2 rsi=60.0 adx=26.526790681172933 dist52w=-16.63366270549983 -> PREFER-HIGH
  [159] RBLX BREAKOUT pct_b=89.9 rsi=62.4 adx=24.4247698805279 dist52w=-72.61938472025625 -> PREFER-HIGH
  [160] BA BREAKOUT pct_b=85.7 rsi=56.1 adx=19.75061051400705 dist52w=-16.53380455750963 -> PREFER-HIGH
  [161] BKNG BREAKOUT pct_b=89.6 rsi=63.2 adx=32.71592394581062 dist52w=-6.5142115134901175 -> PREFER-MID
  [162] AXP BREAKOUT pct_b=87.2 rsi=71.9 adx=11.230181593533727 dist52w=-12.356784085348043 -> PREFER-HIGH
  [163] HD BREAKOUT pct_b=92.0 rsi=70.1 adx=12.065781724392938 dist52w=-20.308445048648878 -> PREFER-HIGH
  [164] ROKU BREAKOUT pct_b=78.4 rsi=65.6 adx=51.23503017069842 dist52w=-0.08212045026681435 -> PREFER-MID
  [165] LOW BREAKOUT pct_b=92.8 rsi=58.7 adx=17.31733360119769 dist52w=-24.499813957360555 -> PREFER-HIGH
  [166] SOFI BREAKOUT pct_b=83.7 rsi=59.4 adx=15.250705592669583 dist52w=-43.371622820346346 -> PREFER-HIGH
  [167] XLI BREAKOUT pct_b=82.8 rsi=62.5 adx=15.528019727541222 dist52w=-4.026590921678828 -> PREFER-HIGH
  [168] BMY PRE-BREAKOUT pct_b=88.5 rsi=56.1 adx=43.51113151817733 dist52w=-0.4880961811501033 -> PREFER-MID
  [169] MRK PRE-BREAKOUT pct_b=92.4 rsi=66.7 adx=35.60702796336727 dist52w=-1.2389376282130855 -> PREFER-MID
  [170] PG PRE-BREAKOUT pct_b=75.4 rsi=57.8 adx=5.433172427379311 dist52w=-12.320568911914167 -> AVOID
  [171] AMD BREAKOUT pct_b=66.8 rsi=55.5 adx=10.295712285755485 dist52w=-21.37335884809126 -> PREFER-HIGH
  [172] MS BREAKOUT pct_b=61.4 rsi=57.9 adx=11.35008784582363 dist52w=-6.331219001308098 -> PREFER-HIGH
  [173] JPM BREAKOUT pct_b=79.4 rsi=65.4 adx=14.135407100947457 dist52w=-2.4070261798673567 -> PREFER-HIGH
  [174] SPY BREAKOUT pct_b=80.5 rsi=56.8 adx=17.95436186557309 dist52w=-1.852475200446677 -> PREFER-HIGH
  [175] IWM BREAKOUT pct_b=70.8 rsi=59.9 adx=13.873447877940611 dist52w=-2.3337360131933087 -> PREFER-HIGH
  [176] SNOW PRE-BREAKOUT pct_b=88.5 rsi=67.0 adx=33.46663071220346 dist52w=-4.327466326460834 -> PREFER-LOW
  [177] C BREAKOUT pct_b=64.4 rsi=61.4 adx=16.260004834312706 dist52w=-9.576437923794881 -> PREFER-HIGH
  [178] AAPL PRE-BREAKOUT pct_b=90.8 rsi=60.2 adx=16.51931057044738 dist52w=-8.74499864991478 -> NEUTRAL
  [179] XYZ PRE-BREAKOUT pct_b=85.3 rsi=61.4 adx=14.934805751039837 dist52w=-3.8516093569693135 -> PREFER-LOW
  [180] MPC PRE-BREAKOUT pct_b=83.6 rsi=61.0 adx=41.613616964509774 dist52w=-1.0076192696831134 -> AVOID
  [181] TFC PRE-BREAKOUT pct_b=79.5 rsi=58.9 adx=13.94779777233177 dist52w=-8.958967706445621 -> AVOID
  [182] VLO PRE-BREAKOUT pct_b=86.6 rsi=62.0 adx=31.849163526806375 dist52w=-1.1569741277534475 -> PREFER-MID
  [183] HOOD BREAKOUT pct_b=91.4 rsi=67.7 adx=16.705148566557895 dist52w=-32.0346332261068 -> PREFER-HIGH
  [184] ARKK PRE-BREAKOUT pct_b=84.7 rsi=59.4 adx=21.346821667428923 dist52w=-9.305091023386037 -> AVOID
  [185] DE PRE-BREAKOUT pct_b=80.0 rsi=62.2 adx=20.455547659872312 dist52w=-2.090593939545814 -> AVOID
  [186] UPS PRE-BREAKOUT pct_b=86.3 rsi=59.9 adx=26.04234443560316 dist52w=-14.399998982747395 -> NEUTRAL
  [187] MCD BREAKOUT pct_b=75.3 rsi=57.3 adx=10.806437498151501 dist52w=-20.090303613486718 -> PREFER-HIGH
  [188] META BREAKOUT pct_b=92.5 rsi=56.0 adx=16.01246737795798 dist52w=-28.353730274751683 -> PREFER-HIGH
  [189] LLY BREAKOUT pct_b=93.9 rsi=68.5 adx=21.813250792884794 dist52w=-2.6094563163908817 -> PREFER-HIGH
  [190] BKNG BREAKOUT pct_b=90.5 rsi=63.9 adx=32.71592394581062 dist52w=-6.5142115134901175 -> PREFER-MID
  [191] PG BREAKOUT pct_b=91.4 rsi=58.9 adx=5.433172427379311 dist52w=-12.320568911914167 -> PREFER-HIGH
  [192] ABNB BREAKOUT pct_b=84.9 rsi=63.7 adx=41.52373985119513 dist52w=0.0 -> PREFER-MID
  [193] BMY BREAKOUT pct_b=85.1 rsi=56.0 adx=43.51113151817733 dist52w=-0.4880961811501033 -> PREFER-MID
  [194] MRK BREAKOUT pct_b=83.9 rsi=63.6 adx=35.60702796336727 dist52w=-1.2389376282130855 -> PREFER-MID
  [195] ROKU BREAKOUT pct_b=73.7 rsi=65.5 adx=51.23503017069842 dist52w=-0.08212045026681435 -> PREFER-MID
  [196] SBUX BREAKOUT pct_b=71.7 rsi=55.8 adx=12.07991057965687 dist52w=-0.9765132733187113 -> PREFER-HIGH
  [197] TFC BREAKOUT pct_b=87.5 rsi=61.7 adx=13.94779777233177 dist52w=-8.958967706445621 -> PREFER-HIGH
  [198] UPS BREAKOUT pct_b=87.7 rsi=60.1 adx=26.04234443560316 dist52w=-14.399998982747395 -> PREFER-HIGH
  [199] XYZ BREAKOUT pct_b=86.4 rsi=62.7 adx=14.934805751039837 dist52w=-3.8516093569693135 -> PREFER-HIGH
  [200] JPM BREAKOUT pct_b=84.8 rsi=67.8 adx=14.135407100947457 dist52w=-2.4070261798673567 -> PREFER-HIGH
  [201] TMO BREAKOUT pct_b=89.9 rsi=65.6 adx=34.16796306770194 dist52w=-1.6748802514978642 -> PREFER-MID
  [202] MS BREAKOUT pct_b=69.8 rsi=60.1 adx=11.35008784582363 dist52w=-6.331219001308098 -> PREFER-HIGH
