ticker,direction,entry_date,hold_days,ret_pct
BKNG,long,2023-05-22,4,-6.265527269967331
BKNG,long,2023-06-23,10,3.441173365878636
BKNG,long,2023-07-12,10,5.490337288237512
BKNG,long,2023-09-22,10,0.14581037885768033
BKNG,long,2023-12-12,10,5.199192044148515
BKNG,long,2024-02-01,10,4.409767663728537
BKNG,long,2024-03-25,10,-0.7471370266052157
BKNG,long,2024-05-09,10,3.09559526147547
BKNG,long,2024-06-20,10,-1.6232849498594049
BKNG,long,2025-02-13,10,-0.8587905470761603
BKNG,short,2025-10-09,10,-0.2101209758553324
BKNG,short,2025-11-07,10,3.0391752257423854
BKNG,short,2026-01-20,10,7.3309053667671265
BKNG,long,2026-07-29,10,8.053345484023012
BLK,short,2022-07-21,1,0.09459756482964599
BLK,long,2023-01-10,10,0.2161059598249082
BLK,long,2023-07-13,10,-0.5185077596690402
BLK,long,2024-02-26,10,1.7522610177693965
BLK,long,2024-05-09,10,0.8548609294510845
BLK,long,2024-06-25,10,2.20778611160215
BLK,long,2024-08-14,10,3.8117756072713727
BLK,long,2024-09-18,10,4.983494649441611
BLK,long,2024-12-17,3,-2.588026516498365
BLK,short,2025-03-12,7,-3.4489109205163127
BLK,long,2025-06-26,10,7.948888171194124
BLK,long,2026-01-06,3,-3.0572108373996376
BLK,long,2026-01-16,10,-3.4359608296949062
BLK,short,2026-03-09,10,-4.863458646577046
BLK,long,2026-05-15,5,-1.9661604308038538
BMY,long,2022-08-26,10,0.6117942889440231
BMY,long,2022-10-26,10,9.153102718022833
BMY,long,2022-11-29,10,-1.8525556778341112
BMY,short,2023-02-22,10,5.624126177553657
BMY,short,2023-05-25,10,0.2155826676704442
BMY,short,2023-07-10,10,-3.3530293038546155
BMY,short,2023-09-08,10,2.0944121089245704
BMY,short,2023-10-27,10,2.7665680073318377
BMY,short,2024-01-18,10,1.914552163218619
BMY,short,2024-05-24,10,-2.8012553771709303
BMY,short,2024-07-08,10,-7.6437911855471
BMY,long,2024-08-30,8,-2.9766683545857653
BMY,long,2024-10-02,10,1.0221409845052376
BMY,long,2024-11-05,10,5.603917640173184
BMY,long,2025-01-24,10,-3.823383713236994
BMY,short,2025-05-12,10,-1.4935034963516447
BMY,short,2025-08-01,10,-11.075436708916131
BMY,short,2025-09-22,10,-0.2442829521064338
BMY,long,2026-06-30,10,0.05112045441502122
C,short,2023-06-06,10,-2.6412670642463887
C,short,2023-08-10,10,8.118983063631136
C,short,2023-10-25,10,-8.062012584952182
C,long,2024-03-04,10,5.8112276296162335
C,long,2024-07-01,10,5.687344902443847
C,long,2024-12-06,9,-5.379614881740691
C,long,2025-02-19,4,-7.0425866534421395
C,long,2025-08-29,10,3.2488353234093603
C,long,2025-11-04,10,-1.8272609118051952
C,long,2025-12-05,10,6.677814213504862
C,long,2026-02-10,8,-10.483350382098722
C,long,2026-04-02,10,17.681617730517306
C,long,2026-06-04,10,8.981483128210899
C,long,2026-08-13,7,-4.750880312674443
CAT,long,2022-12-28,10,4.906641426551817
CAT,short,2023-05-04,10,0.6155990799667221
CAT,long,2023-06-05,10,6.238155011519542
CAT,long,2024-07-16,10,-1.473340123230027
CAT,short,2025-04-04,10,0.09123149671053099
CAT,long,2025-06-12,10,6.908429881868949
CAT,long,2025-12-05,10,-4.599342598820366
CAT,long,2026-04-09,10,8.051745179091196
CAT,long,2026-06-16,10,5.155917053558223
CMCSA,short,2023-01-05,1,-2.68292249775004
CMCSA,long,2023-03-31,10,2.172742191866406
CMCSA,long,2023-05-26,10,3.6159900828981906
CMCSA,long,2023-07-13,10,6.2558555603027255
CMCSA,long,2023-08-28,4,0.37313299494128316
CMCSA,long,2023-12-15,10,-2.107157810967575
CMCSA,long,2024-03-14,10,0.5800482333134793
CMCSA,short,2024-04-05,10,1.5414687255037363
CMCSA,short,2024-06-14,10,-2.1407592181486024
CMCSA,short,2024-08-13,10,-3.444735246979813
CMCSA,long,2024-09-27,10,0.07276752232756589
CMCSA,long,2024-10-17,10,2.5598803654497404
CMCSA,long,2024-11-07,10,-3.26885175421725
CMCSA,short,2024-12-10,10,1.714862926708982
CMCSA,short,2025-06-13,6,0.1418018906149121
CMCSA,short,2025-09-18,10,5.969686155822562
CMCSA,short,2026-03-19,10,2.9871503404077293
COIN,short,2022-11-07,10,31.283334096272785
COIN,short,2022-12-16,10,10.160435552732272
COIN,long,2023-03-21,10,-17.969566280316805
COIN,short,2023-04-25,10,-8.077544559239147
COIN,short,2023-06-13,9,-34.922780731713445
COIN,long,2023-09-22,1,-4.954295892972194
COIN,long,2023-11-07,10,22.378192109577235
COIN,long,2024-02-13,10,45.09719194837834
COIN,long,2024-05-29,10,6.668898902384801
COIN,long,2025-01-22,10,-5.274384513300512
COIN,long,2025-09-19,10,10.870573633582502
COIN,short,2026-01-15,10,22.287398404132432
COIN,short,2026-05-28,10,5.900646661534759
COIN,short,2026-08-06,10,-17.43663978911347
COP,long,2023-01-13,10,-0.04146877674447991
COP,short,2023-02-06,10,3.0026730638241683
COP,long,2023-09-06,10,-1.0614869264311322
COP,long,2024-03-14,10,6.80540466137638
COP,short,2024-07-26,10,2.2852009722518662
COP,short,2025-03-05,9,-13.171222230181145
COP,long,2025-08-28,7,-6.332210771690661
COP,short,2025-10-13,10,-0.3734742290348425
COP,long,2025-12-05,10,-0.35763976770986083
COP,long,2026-01-06,1,-6.247499698098302
COP,long,2026-02-02,10,7.161852517065048
COP,long,2026-05-07,2,-0.49943530128093716
COST,long,2023-04-25,8,-2.3614358791137824
COST,short,2023-05-25,3,-6.528395214877225
COST,long,2024-05-07,10,5.567490028661237
COST,long,2024-07-08,5,-4.291884042629556
COST,long,2024-09-16,10,-3.8481540638557465
COST,long,2024-11-11,10,1.8107678614653233
COST,long,2024-12-23,10,-2.779176587193677
COST,long,2025-04-15,10,0.9286065500353269
COST,long,2025-05-02,10,1.7860094122637227
COST,long,2025-06-03,5,-4.447185295932643
COST,short,2025-07-17,10,1.127990537097312
COST,short,2025-11-12,10,0.787569354346207
COST,long,2026-05-18,8,-8.92190406436012
COST,short,2026-07-02,10,-1.4962238529867777
COST,long,2026-07-30,10,0.7130588996556941
CRM,short,2022-10-17,2,-5.2029783416506215
CRM,long,2023-07-13,10,-1.3624816810632212
CRM,short,2023-10-30,6,-6.4522594662767
CRM,long,2024-02-28,10,1.7023854503329439
CRM,long,2024-05-17,8,-24.048917218201204
CRM,short,2024-08-07,6,-8.317879676766005
CRM,long,2024-11-07,10,9.196747570503039
CRM,short,2025-04-02,10,6.061060172620081
CRM,short,2025-09-18,10,2.1625158503043806
CRM,short,2026-01-14,10,10.494184970877008
CRM,short,2026-03-30,10,4.880626455875669
CRM,short,2026-05-14,10,-15.120485604527477
CRWD,short,2022-09-02,10,-0.6369064827440374
CRWD,long,2023-07-20,10,1.6910930741857122
CRWD,long,2023-09-05,10,2.7758810498592856
CRWD,long,2024-11-08,10,12.618370447128925
CRWD,long,2024-12-13,4,-4.090164267951668
CRWD,long,2024-12-27,10,-3.630066613076055
CRWD,long,2025-01-24,10,11.443301597094703
CRWD,long,2025-05-28,10,0.8446411109215513
CRWD,long,2025-07-01,9,-7.085222271403646
CRWD,long,2025-09-17,10,12.350559877545653
CRWD,long,2025-10-27,10,4.692615071285422
CRWD,short,2026-01-21,5,-5.435955604810383
CRWD,short,2026-02-04,10,-2.4760916994173376
CVX,long,2023-01-13,10,-1.6319382514042635
CVX,long,2023-02-01,1,-2.481105021251895
CVX,short,2023-05-03,10,1.542831031795211
CVX,short,2023-06-02,3,-3.396299610435949
CVX,short,2023-07-05,5,-1.2301854654080735
CVX,long,2023-09-06,10,0.2465742513346747
CVX,short,2023-10-12,10,5.212541218405842
CVX,short,2024-03-08,7,-4.853719111600729
CVX,long,2024-07-19,10,-8.573358593103553
CVX,short,2024-09-09,10,-6.419499376562232
CVX,long,2024-11-07,10,2.3363317616607038
CVX,long,2025-03-19,10,3.4167857105617205
CVX,long,2025-08-18,2,-1.8638337097943158
CVX,long,2025-08-26,10,0.17776572221563924
CVX,long,2025-10-02,10,-1.4614184865434532
CVX,short,2025-11-26,10,-1.6592518582305482
CVX,long,2026-01-02,10,9.25937866033706
CVX,long,2026-03-06,10,5.684194555311195
CVX,long,2026-05-13,10,-1.4961513459038844
DDOG,short,2022-07-25,8,-17.542550918903753
DDOG,short,2022-08-31,10,10.531499339062577
DDOG,short,2022-10-12,10,1.3675387764474634
DDOG,short,2022-11-08,10,-3.03419512166494
DDOG,short,2023-04-26,6,-11.373714807584868
DDOG,long,2023-07-13,10,2.7793418633546008
DDOG,long,2023-09-07,10,-7.578133311131774
DDOG,short,2023-10-27,9,-22.530561879703658
DDOG,long,2024-02-13,8,2.252969251791015
DDOG,long,2024-11-22,10,8.545456189499156
DDOG,long,2025-01-29,10,0.13184493038755907
DDOG,long,2025-02-18,10,-10.014806888491323
DDOG,long,2025-09-08,10,1.511492346366139
DDOG,long,2025-10-02,10,-1.537159271227584
DDOG,long,2025-11-07,10,-14.509735313114847
DDOG,short,2026-04-07,10,-12.426081118376352
DDOG,long,2026-08-05,1,-21.322444824263442
DE,short,2022-09-16,10,6.025886259530844
DE,long,2023-01-18,1,-6.943904550016711
DE,long,2023-02-23,10,-1.9907896506533018
DE,short,2023-05-24,10,-6.262384752128658
DE,long,2023-07-19,10,-0.397918154008825
DE,short,2023-10-26,10,0.3719689711084939
DE,long,2024-05-14,6,-5.851217130335362
DE,long,2024-09-16,10,5.386360245521615
DE,long,2024-11-22,10,3.092242151907576
DE,long,2025-02-19,8,-6.112950835613673
DE,short,2025-09-15,10,1.433536482288611
DE,short,2025-10-13,7,-2.890711524027645
DE,long,2025-11-26,3,-1.6725024426598512
DE,short,2025-12-22,10,-0.7847321754042902
DE,long,2026-04-10,10,-9.024172763685046
DHR,short,2022-11-11,10,2.9289299050165196
DHR,long,2022-12-13,5,-9.12000091062497
DHR,short,2023-02-10,10,2.3319034931432725
DHR,short,2023-04-26,10,-2.0637439099619126
DHR,long,2023-07-24,10,0.2549350676703588
DHR,short,2023-10-10,10,9.619356992549266
DHR,long,2024-02-01,10,4.010697726870105
DHR,long,2024-02-29,10,-1.382555573026767
DHR,long,2024-09-17,10,-0.485681901969659
DHR,short,2025-01-07,10,-3.2184889336593914
DHR,short,2025-04-03,10,7.647059311583493
DHR,short,2025-05-27,9,-6.183363788552243
DHR,short,2025-07-21,6,-8.9314902145351
DHR,long,2026-01-06,10,2.8555650229108664
DIA,long,2022-12-12,10,-1.1215622558929828
DIA,long,2023-09-22,10,-1.9343086943163224
DIA,long,2024-01-29,10,1.866137887549213
DIA,long,2024-03-13,10,1.4986328679822858
DIA,long,2024-07-11,10,0.500626474056598
DIA,long,2024-09-20,10,0.9609420411979208
DIA,long,2024-10-15,10,-1.5908477827965561
DIA,long,2025-01-22,10,1.6263161911208135
DIA,long,2025-06-11,10,0.9468216309759692
DIA,long,2025-10-03,6,-1.097064294080452
DIA,long,2025-10-28,10,0.1274051555332001
DIA,long,2026-01-06,10,0.30041102344871007
DIA,long,2026-02-12,8,-1.651660103342334
DIA,long,2026-05-26,10,0.3625108480287631
DIA,long,2026-06-30,10,0.6892001128276926
DIA,long,2026-08-05,10,-1.6620593529554362
DIS,short,2023-05-12,10,4.385960128852007
DIS,short,2023-07-19,10,-0.11601636549438687
DIS,long,2024-01-23,10,4.044850254644938
DIS,long,2024-03-11,10,8.42038748371763
DIS,short,2024-07-03,10,1.0731760646608413
DIS,long,2024-12-17,10,-0.18913724829456857
DIS,long,2025-06-11,10,2.6017924501732237
DIS,long,2025-11-13,1,-2.8377227984302644
DIS,short,2026-02-03,10,-2.2141627427491706
DIS,short,2026-03-09,10,2.5857842114408336
DIS,short,2026-07-01,10,-3.272911375280696
FDX,short,2022-07-15,10,-7.281264813618704
FDX,short,2022-08-29,10,5.023126723972049
FDX,short,2022-10-17,10,-1.2635889030625513
FDX,short,2022-12-20,9,-8.057418780153714
FDX,long,2024-06-27,10,2.0128324252759233
FDX,short,2025-02-04,10,-7.168098436995152
FDX,short,2025-04-04,10,3.245282284072204
FDX,long,2026-04-10,10,2.7598259775422296
FDX,long,2026-08-13,7,2.159086751717809
GE,long,2023-03-06,10,3.7857751052591038
GE,long,2023-05-19,10,-0.40183926868271325
GE,long,2023-07-05,10,1.5431534947157877
GE,long,2023-11-10,10,5.486680482028006
GE,long,2023-12-19,10,0.7760689282625854
GE,long,2024-07-30,10,-1.4781728512589298
GE,long,2024-08-23,10,-2.735290527343748
GE,long,2024-10-15,6,-6.272893102523791
GE,long,2025-03-24,9,-19.384303578817295
GE,long,2025-09-05,10,6.685098086659025
GE,long,2025-12-22,10,4.518010989087884
GILD,short,2022-08-01,8,-4.483855252886593
GILD,long,2023-02-13,8,-6.966543827837201
GILD,long,2023-04-04,10,1.1423724223271536
GILD,short,2023-07-10,7,-5.98657595231229
GILD,short,2023-09-15,9,2.31835375825995
GILD,long,2024-10-17,10,2.18591988714254
GILD,long,2025-10-14,10,0.30633136541431405
GILD,long,2025-11-20,10,-5.547760106243215
GILD,long,2026-01-23,10,16.18162911934138
GILD,short,2026-06-10,10,1.4326671923767242
GILD,long,2026-07-08,10,-4.568754875902526
GILD,long,2026-08-18,4,4.814289637974323
GLD,short,2022-06-28,10,4.980302731778008
GLD,long,2023-01-04,10,4.0668742071471975
GLD,long,2024-07-08,10,0.9834290967545734
GLD,long,2024-09-16,10,1.8137653032912038
GLD,long,2025-07-23,6,-3.515926288191684
GLD,long,2026-04-30,1,-0.5078298962492789
GOOGL,long,2023-05-12,10,6.796366373358698
GOOGL,long,2023-09-01,10,0.5456132426656879
GOOGL,long,2024-04-29,10,0.047321561699997794
GOOGL,long,2024-06-26,10,1.6098134823424814
GOOGL,long,2024-10-31,10,1.4151197823280448
GOOGL,long,2025-02-03,5,-7.085555357873307
GOOGL,short,2025-03-28,10,2.0873611993603602
GOOGL,long,2025-10-24,10,8.671759749170182
GOOGL,long,2025-11-25,10,-1.8393060167276487
GOOGL,long,2026-07-22,1,-8.751723604149076
GS,short,2022-09-21,10,4.89967154063139
GS,long,2023-09-15,10,-6.25235026912322
GS,long,2024-03-25,10,0.9437895111396921
GS,long,2024-07-05,10,3.7349971997101106
GS,long,2024-11-07,10,1.0355907375529716
GS,long,2025-01-16,10,4.985333311453699
GS,long,2025-02-19,3,-6.417767881960268
GS,long,2025-06-18,10,15.879646660487335
GS,long,2025-07-31,10,2.8365356789658014
GS,long,2025-08-28,10,3.870891450250391
GS,long,2025-11-03,10,-1.7743847455786277
GS,long,2025-12-03,10,7.304262745701329
GS,long,2026-04-06,10,9.12398496342699
GS,long,2026-05-21,10,5.749282788305066
HD,long,2023-01-25,1,-0.48203123026598904
HD,short,2023-03-23,7,-4.371450884738004
HD,short,2023-05-09,10,-3.0646079610596733
HD,long,2023-06-13,10,1.3591322592908295
HD,long,2024-02-13,10,5.33935449707974
HD,long,2024-03-22,6,-8.029086687117392
HD,long,2024-05-13,9,-6.596561402093604
HD,long,2024-11-25,10,-0.5670596852022092
HD,short,2025-04-09,9,-8.466222400329126
HD,short,2025-06-11,10,1.5278795103827902
HD,short,2025-11-07,10,6.95682365092104
HD,short,2026-03-06,10,10.289759933341703
HON,short,2022-06-14,10,6.4491707097766415
HON,long,2023-04-14,10,2.152024667253105
HON,long,2023-06-14,10,2.2128671044796544
HON,short,2023-07-28,10,3.536373931039871
HON,short,2024-02-07,10,-2.7318809179545767
HON,long,2024-03-04,10,-0.8416041192493062
HON,long,2024-04-01,3,-4.547444531870237
HON,long,2024-05-13,10,-2.5728813794803185
HON,long,2024-07-18,5,-7.968906135968112
HON,long,2024-10-10,10,-1.1347514521137136
HON,short,2025-02-10,10,-2.6385834981453193
HON,long,2025-03-10,7,-2.6319499367481125
HON,short,2025-04-07,10,-3.9620557158523084
HON,short,2025-10-02,10,3.4821811020174787
HON,long,2026-05-22,10,-6.092044394259666
HOOD,short,2022-10-06,2,2.230481096775072
HOOD,long,2022-11-02,6,-21.969693868139117
HOOD,short,2022-12-20,10,0.2460080871111714
HOOD,short,2023-03-13,10,2.7118724796328597
HOOD,short,2023-09-22,10,-0.2018209694412354
HOOD,short,2023-10-20,10,-8.268154043445985
HOOD,long,2024-02-13,10,38.93195209088376
HOOD,long,2024-05-21,10,2.519005495412019
HOOD,long,2024-07-18,5,-12.551606500263224
HOOD,long,2025-01-16,10,13.900460573878991
HOOD,long,2025-08-13,10,-11.007352519649572
HOOD,long,2025-11-10,3,-10.276853807729792
HOOD,short,2026-03-25,10,2.3738172977421645
HOOD,long,2026-08-24,0,-3.027467604437306
IBM,long,2023-01-18,6,-6.890579895297655
IBM,long,2023-07-21,10,4.3629248870384885
IBM,long,2024-03-05,10,0.6979147593180413
IBM,long,2024-08-14,10,3.824228642843419
IBM,long,2025-01-31,10,2.0425741986587864
IBM,long,2025-03-03,1,-0.6006118969554386
IBM,long,2025-05-07,10,4.5780710798384305
IBM,long,2025-09-09,10,6.293922936322027
IBM,short,2026-02-12,10,11.132068974471586
